Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10nF,C307346
"C10, C3, C4, C5, C6, C7, C9",0603,7,0.1uF,C105907
C2,0805,1,2.2u,C77081
C8,PANASONIC_C,1,22uF,C178580
D1,0603,1,LED_RED_LPGLITCH,C19171390
D2,0603,1,LED_BLUE_GLITCH_EN,C5179639
D3,0603,1,LED_BLUE_TRIGGER2,C5179639
D4,0603,1,LED_RED_TARGET_POWER,C19171390
D5,0603,1,LED_RED_HPGLITCH,C19171390
JMP_VCC_INTERN0,PinHeader_1x02_P2.54mm_Vertical,1,JMP_VCC_INTERN,C7501260
Q1,SOT-23,1,IRLML2502,C5364308
Q2,SOIC-8_3.9x4.9mm_P1.27mm,1,IRF7807PBF,C5350865
Q3,SOT-23-5,1,TPS 79318,C7102
Q4,SOIC-8_3.9x4.9mm_P1.27mm,1,TPS2041,C431481
"R1, R11, R2, R5",0603,4,10K,C103199
"R10, R6, R7, R8",0603,4,150,C3016246
"R12, R13, R14, R15",R_Array_Concave_4x0603,4,10k,C396839
"R16, R17, R18, R19",R_Array_Concave_4x0603,4,100,C396838
"R3, R4",0603,2,1R,C140111
R9,0603,1,220,C138284
S1,SW_SP3T_PCM13,1,Micro Slide Switch,C160878
S_RST0,SW_Push_1P1T_NO_CK_KSC7xxJ,1,SW_Push_Shielded,C2845324
"TP_1V8, TP_3V3, TP_GLITCH_EN0, TP_GND0, TP_RESET0, TP_TRIGGER2, TP_VTARGET0, X_ANALOG0, X_GLITCH0, X_GLITCH1, X_GLITCH2, X_HPGLITCH2, X_LPGLITCH2, X_TRIGGER0, X_TRIGGER1, X_VCC_EXTERN0",PinHeader_1x01_P2.54mm_Vertical,16,PINHDR_1X1,C5277086
TP_5V0,PinHeader_1x01_P2.54mm_Vertical,1,M01PTH,C5277086
"U1, U2",TSSOP-24_4.4x7.8mm_P0.65mm,2,NH245,C27643
"X1, X2",BU-SMA,2,BU-SMA,C914559
X3,PinHeader_2x08_P2.54mm_Vertical,1,M08X2,C68234
"X_1V8, X_3V3, X_5V0, X_GLITCH_EN0, X_GND0, X_RESET0, X_TRIGGER2, X_VTARGET0",PinHeader_1x03_P2.54mm_Vertical,8,PINHDR_3X1,C7501261
