Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10nF,
"C10, C3, C4, C5, C6, C7, C9",0603,7,0.1uF,
C2,0805,1,2.2u,
D1,0603,1,LED_RED_LPGLITCH,
D2,0603,1,LED_BLUE_GLITCH_EN,
D3,0603,1,LED_BLUE_TRIGGER2,
D4,0603,1,LED_RED_TARGET_POWER,
D5,0603,1,LED_RED_HPGLITCH,
Q1,SOT-23,1,IRLML2502,
Q2,SOIC-8_3.9x4.9mm_P1.27mm,1,IRF7807PBF,
Q3,SOT-23-5,1,TPS 79318,
Q4,SOIC-8_3.9x4.9mm_P1.27mm,1,TPS2041,
"R1, R11, R2, R5",0603,4,10K,
"R10, R6, R7, R8",0603,4,150,
"R12, R13, R14, R15",R_Array_Concave_4x0603,4,10k,
"R16, R17, R18, R19",R_Array_Concave_4x0603,4,100,
"R3, R4",0603,2,1R,
R9,0603,1,220,
"U1, U2",TSSOP-24_4.4x7.8mm_P0.65mm,2,NH245,
